SampleID,Eas_X,Nor_Y,0-5_NO3_mg_kg,0-5_LOI_g_kg,0-5_Soil_pH_(1:2),5-10_NO3_mg_kg,5-10_LOI_g_kg,5-10_Soil_pH_(1:2),10-20_NO3_mg_kg,10-20_LOI_g_kg,10-20_Soil_pH_(1:2),20-40_NO3_mg_kg,20-40_LOI_g_kg,20-40_Soil_pH_(1:2),40-60_NO3_mg_kg,40-60_LOI_g_kg,40-60_Soil_pH_(1:2),60-90_NO3_mg_kg,60-90_LOI_g_kg,60-90_Soil_pH_(1:2),Soil_Series,Soil_Drainage_Type
P2-25,269764.5167,3700625.377,18.70149294,134.8220545,4.804,20.3655193,70.03397928,5.828,20.65783187,57.0295957,6.378,,,,,,,,,,Sedgefield,SPD
P2-26,269674.3664,3700584.518,21.05988135,96.97043515,5.0535,22.72865412,75.41361402,5.51,13.08848486,67.44995736,5.95,0.284720825,74.8977237,6.391,0.267507189,94.81342408,6.459,0.837148441,102.1281518,5.407,Cecil,WD
P2-27,269689.889,3700595.998,12.01627416,87.37733253,4.9995,8.587410254,58.18802946,5.2565,6.991659436,55.26907732,5.317,3.549004856,63.73008435,5.868,1.257098008,75.57502738,6.31,0.734243923,88.73368445,5.747,Cecil,WD
P2-28,269709.8296,3700609.441,15.19497246,151.1182406,5.066,12.6070371,101.6714908,5.791,14.31933211,88.68733179,5.962,4.364260839,94.92374232,6.604,1.778687616,96.89748201,6.478,2.410932584,97.0027881,5.415,Cecil,WD
P2-29,269728.7884,3700626.648,10.97777472,94.83199079,5.6295,8.370372611,66.75204887,6.127,5.246364546,57.65537229,6.6425,,50.60204237,,0.522946779,82.81656331,6.953,0.322955439,75.13216755,7.088,Sedgefield,SPD
P2-30,269747.7472,3700643.854,11.15433237,106.020799,6.095,10.82858402,61.04794765,6.946,8.388196907,54.02726112,7.305,,62.29880704,,1.234740299,47.62409843,7.761,,26.95829095,,Sedgefield,SPD
P3-31,269810.1236,3700620.143,11.52617118,141.0706714,4.9465,6.238313258,67.73152535,6.0645,7.312966117,81.53409307,6.3315,9.06992436,98.85707553,6.577,7.284797543,102.2561455,6.462,2.505030382,73.89105953,5.516,Cecil,WD
P3-32,269828.1269,3700631.829,10.06250085,70.11160925,5.164,2.000650326,32.09124743,5.783,1.534686024,32.57143515,6.0855,3.846715246,61.27180393,6.272,2.598201121,71.51748331,6.535,1.008886567,94.20146448,6.601,Cecil,WD
P3-33,269847.7177,3700645.896,11.72532203,54.79318567,4.8405,10.68333923,27.11997668,5.4875,8.760847978,33.77362415,6.089,5.653544327,54.44397641,6.459,4.83003149,64.7444022,6.755,3.642543852,68.20773297,6.786,Cecil,WD
P3-34,269862.8635,3700654.884,12.19816921,94.74035361,5.026,5.364626674,36.67313011,5.865,9.099888006,73.93464554,5.932,5.025068587,100,5.981,1.698726853,105.2943501,5.746,2.334289793,97.14088874,5.72,Cecil,WD
P3-35,269796.6086,3700636.47,10.19588426,72.13651873,5.1745,11.6017115,41.08726952,5.6765,13.00227577,29.52407697,6.446,6.554446755,29.12712581,6.829,0.699820972,69.25207756,6.982,0.103155203,79.73455845,5.445,Sedgefield,SPD
P3-36,269816.5169,3700647.997,13.57911627,114.631388,5.2055,8.725010451,72.70081149,5.972,7.581076466,77.84700768,6.3675,0.663337401,98.91627709,6.629,0.312235976,100.6914434,5.676,0.009039792,94.80084378,5.57,Helena,MWD
P3-37,269836.1077,3700662.065,13.57532903,118.1998665,4.835,9.691308386,90.63181672,5.335,8.557188019,88.66044185,5.5235,2.654459967,92.61876291,5.538,2.306332133,98.60100728,5.537,0.960424019,96.20743972,5.365,Helena,MWD
P3-38,269855.6985,3700676.132,6.78951114,59.23258611,4.583,2.554979749,39.87066337,4.8505,2.968104448,34.32722066,5.158,4.680408077,94.01434843,5.562,2.673472229,80.43478261,5.502,1.080023342,83.92262895,5.215,Helena,MWD
P3-39,269781.8235,3700651.686,8.81053518,70.54984342,5.68,12.07295063,43.55725793,6.1025,8.800218616,37.2413626,6.8145,3.013773472,46.78668621,7.28,,,,,,,Sedgefield,SPD
P3-40,269804.9069,3700664.166,12.35932224,68.05813619,4.983,8.070467186,37.35508185,5.5735,9.625303096,27.87235112,6.2455,1.632500131,27.0617284,6.839,0.469176107,77.33115691,7.001,,,,Sedgefield,SPD
P3-41,269824.4977,3700678.233,14.03181791,80.75920337,5.2255,12.51549599,49.75405895,5.6755,10.50174869,36.13059241,5.991,6.863292491,38.63971362,6.338,,,,,,,Sedgefield,SPD
P3-42,269844.0885,3700692.301,13.13899024,87.12182323,4.924,10.90293635,56.35433248,5.542,5.343867845,53.89487328,5.799,2.541511118,43.748209,5.953,5.699640533,41.84821157,6.048,,,,Sedgefield,SPD
P3-43,269765.9272,3700666.108,19.8181993,148.2708811,4.591,14.79104597,55.22883919,5.6245,11.36648407,41.97878283,6.397,8.113072324,53.94834446,6.841,3.410490882,42.68335071,7.354,0.059206286,57.43740795,7.612,Sedgefield,SPD
P3-44,269791.3918,3700681.128,,,,,,,,,,,,,,,,,,,Sedgefield,SPD
P3-45,269812.8876,3700694.402,14.5402255,87.79347673,4.757,13.84966479,55.01199285,5.4655,14.28282139,43.5257308,6.1545,,,,,39.48062916,,0.972864235,36.63081674,7.352,Sedgefield,SPD
P3-46,269832.4784,3700708.469,13.6206746,110.1538268,4.8765,11.26591172,68.42860867,5.514,4.736400627,55.73758877,5.822,3.207767062,52.714865,6.032,1.693282449,43.20440902,6.247,1.380118386,47.54645069,6.127,Sedgefield,SPD
