SampleID,FL,Eas_X,Nor_Y,0-5_LOI_g_kg,5-10_LOI_g_kg,10-20_LOI_g_kg,20-40_LOI_g_kg,40-60_LOI_g_kg,60-90_LOI_g_kg,Soil_Series,Soil_Drainage_Type
P4-50,BL,269847.9547,3700578.552,91.77686231,51.07132665,40.00205382,53.55202055,73.87889033,96.14225437,Cecil,WD
P4-51,BL,269850.3948,3700556.058,78.24586215,53.15150864,46.68938813,,,103.3158813,Cecil,WD
P4-52,BL,269858.8675,3700537.057,179.8738053,66.23342361,53.99378639,94.20368955,98.20409011,99.03791737,Cecil,WD
P4-53,BL,269858.8264,3700602.019,137.3721192,66.11332166,79.48235752,93.45206915,92.5080708,94.18937415,Cecil,WD
P4-54,BL,269865.7115,3700580.478,126.1367678,74.35053605,75.45125349,93.11988268,97.09066306,87.33521657,Cecil,WD
P4-55,BL,269868.1516,3700557.985,102.1923918,54.09818747,68.47795605,97.62158325,100.4591168,102.7291452,Cecil,WD
P4-56,BL,269876.6243,3700538.984,67.29691888,41.18950461,28.84207516,49.55192409,65.15971559,67.40586233,Cecil,WD
P4-57,BL,269876.5832,3700603.946,113.5643406,60.60914626,80.70153715,88.0539499,95.1503283,97.82030835,Cecil,WD
P4-58,BL,269883.4683,3700582.405,149.3445233,77.24162121,80.10497516,88.42344201,94.46325216,103.6499513,Cecil,WD
P4-59,BL,269885.9085,3700559.911,98.60798047,55.82154625,54.18686294,97.76654024,102.5061627,104.7289761,Cecil,WD
P4-60,BL,269894.3811,3700540.91,83.50197045,47.07515767,36.75025892,90.43497559,91.78638009,91.73098126,Cecil,WD
P4-61,BL,269894.34,3700605.872,52.60748312,32.10607507,39.86562157,48.39365596,42.50652742,50.07743934,Helena,MWD
P4-62,BL,269901.2252,3700584.331,109.6352215,79.33973517,71.20598481,70.93184979,66.13653995,81.30081301,Helena,MWD
P4-63,BL,269903.6653,3700561.837,104.9174035,65.5718758,57.86250683,54.53479281,59.77843589,76.62220439,Cecil,WD
P4-64,BL,269912.1379,3700542.836,,,,,,,Helena,MWD
P5-65,BL,269889.3939,3700466.624,63.62184077,38.65503471,25.80052256,68.99435501,84.94252874,79.22338764,Cecil,WD
P5-66,BL,269909.1952,3700467.988,99.91177458,58.57864579,70.31247409,103.913915,107.0829841,104.6305007,Cecil,WD
P5-67,BL,269933.591,3700473.551,61.95713432,44.38050516,30.22489956,79.17570499,102.5532366,,Iredell,MWD
P5-68,BL,269955.2351,3700481.654,76.44228288,48.82821649,47.33218891,,51.10523333,97.27937814,Helena,MWD
P5-69,BL,269882.8424,3700484.123,63.42140998,40.33628744,30.45793253,51.89886375,81.45883381,88.76811594,Cecil,WD
P5-70,BL,269902.6437,3700485.488,92.3215248,52.6523702,37.14596779,82.03693341,102.1521373,100.7276507,Cecil,WD
P5-71,BL,269927.0395,3700491.051,60.64146134,40.19570285,31.72910576,38.03470541,67.12328767,91.83362148,Iredell,MWD
P5-72,BL,269948.6836,3700499.154,63.31172969,35.51113932,35.69237188,56.23836127,68.15596235,86.17255478,Iredell,MWD
P5-73,BL,269874.1742,3700498.237,108.9359015,56.29561131,60.9363594,80.82646398,76.21522139,82.51216906,Cecil,WD
P5-74,BL,269896.0922,3700502.988,66.29885745,46.59454235,52.84683576,41.47970884,52.73456609,58.35599247,Cecil,WD
P5-75,BL,269920.4879,3700508.551,62.63678572,37.23858301,30.50796415,30.53892216,51.06926269,65.4109589,Iredell,MWD
P5-76,BL,269942.132,3700516.654,135.6954069,67.12569967,92.33018444,63.04711321,92.54158863,51.88630491,Helena,MWD
P5-77,BL,269867.6227,3700515.736,159.4465078,79.95329668,87.30443211,106.0440229,103.4049504,105.3069967,Cecil,WD
P5-78,BL,269889.5406,3700520.488,80.55475725,54.41760929,57.85679027,78.72269653,90.03698567,103.99206,Cecil,WD
P5-79,BL,269913.9364,3700526.051,71.23706678,45.85468664,37.60398546,53.95320694,55.67117586,78.10009563,Iredell,MWD
P5-80,BL,269935.5805,3700534.154,149.1755963,81.36630599,76.232068,92.63681592,67.00687819,60.5066727,Helena,MWD
P6-81,BL,269946.7885,3700390,99.72890974,49.52875553,43.02395026,28.72307212,24.56072226,34.09969088,Iredell,MWD
P6-82,BL,269968.8873,3700400,63.45374955,35.93807373,27.63510855,52.45064336,47.86273329,,Iredell,MWD
